,date,open,high,low,close,volume,token
0,2021-01-01 09:15:00,47785.28,47885.96,47772.93,47860.46,0,265
1,2021-01-01 09:16:00,47859.35,47877.87,47842.63,47842.65,0,265
2,2021-01-01 09:17:00,47842.15,47862.75,47830.48,47860.31,0,265
3,2021-01-01 09:18:00,47866.97,47877.12,47863.33,47873.74,0,265
4,2021-01-01 09:19:00,47873.27,47873.27,47853.63,47867.0,0,265
5,2021-01-01 09:20:00,47851.11,47882.92,47845.24,47880.52,0,265
6,2021-01-01 09:21:00,47883.59,47892.86,47872.93,47878.98,0,265
7,2021-01-01 09:22:00,47880.66,47884.13,47869.26,47883.79,0,265
8,2021-01-01 09:23:00,47883.58,47883.58,47842.9,47845.78,0,265
9,2021-01-01 09:24:00,47847.02,47860.42,47835.39,47860.42,0,265
10,2021-01-01 09:25:00,47858.53,47859.21,47837.8,47842.15,0,265
11,2021-01-01 09:26:00,47843.0,47860.32,47836.46,47858.41,0,265
12,2021-01-01 09:27:00,47856.43,47860.41,47849.4,47859.26,0,265
13,2021-01-01 09:28:00,47860.0,47883.43,47856.5,47878.21,0,265
14,2021-01-01 09:29:00,47875.14,47878.49,47860.18,47875.84,0,265
15,2021-01-01 09:30:00,47877.32,47916.56,47877.32,47909.44,0,265
16,2021-01-01 09:31:00,47909.54,47911.63,47897.91,47902.09,0,265
17,2021-01-01 09:32:00,47906.48,47915.09,47896.42,47897.59,0,265
18,2021-01-01 09:33:00,47896.99,47906.51,47895.0,47898.79,0,265
19,2021-01-01 09:34:00,47898.11,47903.18,47882.3,47888.75,0,265
20,2021-01-01 09:35:00,47891.31,47891.31,47872.2,47878.73,0,265
21,2021-01-01 09:36:00,47879.46,47885.16,47870.18,47879.18,0,265
22,2021-01-01 09:37:00,47840.53,47846.26,47827.99,47844.81,0,265
23,2021-01-01 09:38:00,47847.67,47881.23,47844.65,47878.01,0,265
24,2021-01-01 09:39:00,47877.4,47878.77,47871.17,47875.58,0,265
25,2021-01-01 09:40:00,47876.16,47887.91,47876.16,47887.91,0,265
26,2021-01-01 09:41:00,47887.99,47897.0,47886.4,47893.82,0,265
27,2021-01-01 09:42:00,47895.49,47905.4,47893.63,47900.51,0,265
28,2021-01-01 09:43:00,47899.3,47913.23,47896.18,47913.23,0,265
29,2021-01-01 09:44:00,47913.4,47917.97,47907.74,47911.63,0,265
30,2021-01-01 09:45:00,47911.6,47932.05,47907.87,47932.05,0,265
31,2021-01-01 09:46:00,47933.08,47935.92,47928.86,47934.35,0,265
32,2021-01-01 09:47:00,47933.77,47942.2,47931.12,47934.65,0,265
33,2021-01-01 09:48:00,47935.02,47939.19,47930.75,47932.55,0,265
34,2021-01-01 09:49:00,47932.93,47938.65,47929.09,47937.16,0,265
35,2021-01-01 09:50:00,47936.61,47938.53,47926.95,47927.16,0,265
36,2021-01-01 09:51:00,47927.39,47933.8,47925.34,47932.17,0,265
37,2021-01-01 09:52:00,47931.23,47933.0,47925.17,47925.72,0,265
38,2021-01-01 09:53:00,47922.02,47926.56,47915.13,47916.51,0,265
39,2021-01-01 09:54:00,47916.51,47919.22,47904.96,47907.5,0,265
40,2021-01-01 09:55:00,47910.8,47918.32,47907.48,47918.32,0,265
41,2021-01-01 09:56:00,47918.03,47936.56,47918.03,47936.56,0,265
42,2021-01-01 09:57:00,47936.56,47946.66,47933.77,47938.66,0,265
43,2021-01-01 09:58:00,47936.85,47942.51,47931.88,47937.85,0,265
44,2021-01-01 09:59:00,47936.36,47943.77,47929.31,47938.75,0,265
45,2021-01-01 10:00:00,47935.97,47940.08,47921.88,47927.17,0,265
46,2021-01-01 10:01:00,47928.34,47928.63,47919.47,47920.22,0,265
47,2021-01-01 10:02:00,47919.87,47927.8,47918.67,47924.69,0,265
48,2021-01-01 10:03:00,47923.69,47926.23,47916.4,47918.5,0,265
49,2021-01-01 10:04:00,47918.06,47921.83,47908.46,47913.03,0,265
50,2021-01-01 10:05:00,47913.55,47920.88,47912.78,47914.23,0,265
51,2021-01-01 10:06:00,47911.86,47912.25,47895.3,47899.62,0,265
52,2021-01-01 10:07:00,47899.65,47899.65,47881.53,47885.25,0,265
53,2021-01-01 10:08:00,47884.58,47899.41,47881.97,47897.09,0,265
54,2021-01-01 10:09:00,47896.67,47900.07,47892.38,47893.94,0,265
55,2021-01-01 10:10:00,47894.0,47910.03,47894.0,47907.47,0,265
56,2021-01-01 10:11:00,47904.25,47916.78,47903.54,47914.83,0,265
57,2021-01-01 10:12:00,47914.93,47921.44,47913.38,47913.46,0,265
58,2021-01-01 10:13:00,47913.81,47919.37,47910.59,47913.2,0,265
59,2021-01-01 10:14:00,47913.03,47917.08,47907.8,47910.83,0,265
60,2021-01-01 10:15:00,47911.14,47919.53,47902.87,47908.07,0,265
61,2021-01-01 10:16:00,47906.48,47910.78,47902.84,47908.13,0,265
62,2021-01-01 10:17:00,47907.94,47916.75,47906.53,47916.75,0,265
63,2021-01-01 10:18:00,47914.58,47916.58,47904.53,47904.81,0,265
64,2021-01-01 10:19:00,47905.63,47907.05,47884.73,47896.91,0,265
65,2021-01-01 10:20:00,47894.92,47902.1,47893.78,47897.19,0,265
66,2021-01-01 10:21:00,47897.19,47909.35,47895.61,47908.27,0,265
67,2021-01-01 10:22:00,47906.49,47922.23,47905.47,47917.6,0,265
68,2021-01-01 10:23:00,47918.29,47924.3,47912.98,47917.5,0,265
69,2021-01-01 10:24:00,47920.25,47922.47,47913.66,47913.91,0,265
70,2021-01-01 10:25:00,47913.8,47925.99,47913.8,47924.59,0,265
71,2021-01-01 10:26:00,47925.65,47934.74,47922.86,47934.74,0,265
72,2021-01-01 10:27:00,47935.15,47945.13,47933.68,47944.78,0,265
73,2021-01-01 10:28:00,47945.77,47950.49,47940.3,47945.65,0,265
74,2021-01-01 10:29:00,47946.36,47954.26,47943.57,47945.35,0,265
75,2021-01-01 10:30:00,47947.48,47947.48,47938.06,47940.51,0,265
76,2021-01-01 10:31:00,47940.61,47940.61,47914.7,47914.7,0,265
77,2021-01-01 10:32:00,47916.61,47918.27,47912.95,47916.0,0,265
78,2021-01-01 10:33:00,47915.87,47928.12,47915.28,47927.06,0,265
79,2021-01-01 10:34:00,47926.71,47932.85,47926.71,47927.74,0,265
80,2021-01-01 10:35:00,47927.81,47928.95,47921.46,47925.93,0,265
81,2021-01-01 10:36:00,47924.86,47928.96,47920.41,47920.84,0,265
82,2021-01-01 10:37:00,47919.87,47926.8,47913.58,47916.84,0,265
83,2021-01-01 10:38:00,47918.24,47921.32,47907.81,47908.22,0,265
84,2021-01-01 10:39:00,47909.46,47912.64,47901.8,47908.66,0,265
85,2021-01-01 10:40:00,47909.73,47913.23,47907.72,47911.39,0,265
86,2021-01-01 10:41:00,47911.39,47919.47,47910.37,47919.47,0,265
87,2021-01-01 10:42:00,47918.55,47919.19,47909.22,47909.55,0,265
88,2021-01-01 10:43:00,47909.96,47913.51,47906.32,47906.84,0,265
89,2021-01-01 10:44:00,47906.26,47926.42,47904.95,47921.99,0,265
90,2021-01-01 10:45:00,47920.69,47929.99,47917.04,47927.59,0,265
91,2021-01-01 10:46:00,47929.27,47946.21,47928.73,47939.14,0,265
92,2021-01-01 10:47:00,47941.83,47948.73,47936.02,47947.77,0,265
93,2021-01-01 10:48:00,47950.84,47951.11,47937.95,47939.12,0,265
94,2021-01-01 10:49:00,47938.95,47938.95,47914.65,47918.55,0,265
95,2021-01-01 10:50:00,47918.55,47922.97,47914.82,47920.13,0,265
96,2021-01-01 10:51:00,47920.61,47922.54,47915.0,47921.01,0,265
97,2021-01-01 10:52:00,47920.96,47930.62,47920.8,47927.58,0,265
98,2021-01-01 10:53:00,47928.05,47931.42,47923.12,47929.82,0,265
99,2021-01-01 10:54:00,47929.82,47930.25,47920.29,47922.15,0,265
